User Site ID	NASIS Group Name	obsYear	obsMonth	obsDAY	Current Taxon Name	Current Taxonomic Class	Std Latitude	Std Longitude
1979MI073011	12-FLI Points	1979	5	1	Capac	Fine-loamy, mixed, active, mesic Glossaquic Hapludalfs	43.5386222	-84.710075
1979MI073012	12-GRR Points	1979	5	10	Capac	Fine-loamy, mixed, semiactive, mesic Aquic Hapludalfs	43.5390306	-84.7160639
1979MI073013	12-GRR Points	1979	7	24	Capac	Fine-loamy, mixed, semiactive, mesic Aquic Glossudalfs	43.4799778	-84.8353222
1981MI073005	12-GRR Points	1981	6	10	Capac	Fine-loamy, mixed, semiactive, mesic Aquic Glossudalfs	43.5032222	-84.7085917
1983MI073008	12-GRR Points	2016	11	30	Londo	Fine-loamy, mixed, semiactive, mesic Aquic Hapludalfs	43.5488	-84.7452139
1968MI057005	12-GRR Points	1968	8	1	Conover	Fine-loamy, mixed, semiactive, mesic Aquic Hapludalfs	43.3058917	-84.7003694
1968MI057006	12-GRR Points	1968	9	1	Conover	Fine-loamy, mixed, semiactive, mesic Oxyaquic Hapludalfs	43.3679861	-84.7072361
1968MI057007	12-GRR Points	1968	9	1	Conover	Fine-loamy, mixed, semiactive, mesic Oxyaquic Argiudolls	43.3643472	-84.7076139
1967MI057005	12-GRR Points	1967	5	23	Conover	Fine-loamy, mixed, semiactive, mesic Aquic Hapludalfs	43.3532778	-84.7300944
1967MI045008	12-GRR Points	1967	5	26	Conover	Fine-loamy, mixed, semiactive, mesic Aquic Hapludalfs	42.6449333	-84.7967917
1970MI045019	12-GRR Points	1970	11	1	Conover	Fine-loamy, mixed, semiactive, mesic Aquollic Hapludalfs	42.504975	-84.9339639
1967MI045001	12-GRR Points	1967	4	11	Conover	Fine-loamy, mixed, semiactive, mesic Aquic Hapludalfs	42.6395722	-84.8354111
1968MI045004	12-GRR Points	1968	8	22	Conover	Fine-loamy, mixed, active, mesic Aquollic Hapludalfs	42.4824167	-84.844825
1988MI025200	12-GRR Points	1988	6	1	Blount	Fine, mixed, mesic Aquic Hapludalfs	42.3960417	-84.8332583
1988MI025201	12-GRR Points	1988	6	14	Blount	Fine, mixed, mesic Aquic Hapludalfs	42.4023056	-84.8368528
1988MI025202	12-GRR Points	1988	9	15	Blount	Fine, mixed, mesic Aquic Hapludalfs	42.3598778	-84.8448722
1989MI025201	12-GRR Points	1989	9	28	Blount	Fine, mixed, mesic Mollic Endoaqualfs	42.4132528	-84.7964667
1988MI025203	12-GRR Points	1988	9	14	Conover	Fine-loamy, mixed, mesic Aquic Argiudolls	42.3726278	-84.8814222
1988MI025204	12-GRR Points	1988	9	15	Blount	Fine, mixed, mesic Aquic Hapludalfs	42.4173278	-84.8842972
1975MI075005	12-GRR Points	1975	2	12	Barry	Fine-loamy, mixed, superactive, mesic Typic Argiaquolls	42.2924306	-84.462975
1980MI149004	12-GRR Points	2016	12	16	Barry	Fine-loamy, mixed, superactive, mesic Typic Argiaquolls	42.0583528	-85.3213306
1974MI075004	12-GRR Points	1974	11	1	Barry	Fine-loamy, mixed, superactive, mesic Typic Argiaquolls	42.2901806	-84.4566917
1974MI075005	12-GRR Points	1974	11	11	Barry	Fine-loamy, mixed, superactive, mesic Typic Argiaquolls	42.2873583	-84.4537889
1989MI025063	12-GRR Points	1989	9	20	Barry	Fine-loamy, mixed, superactive, mesic Typic Endoaquolls	42.34155	-84.7762917
1965IN131002	12-GRR Points	2017	1	23	Maumee	Sandy, mixed, mesic Typic Endoaquolls	41.0543833	-86.8458
1973IN141003	12-GRR Points	2017	1	23	Maumee	Sandy, mixed, mesic Typic Endoaquolls	41.6971083	-86.0999472
1967IN089005	12-GRR Points	2017	1	23	Maumee	Sandy, mixed, mesic Typic Endoaquolls	41.5515833	-87.508625
1976IN091203	12-GRR Points	2017	1	23	Maumee	Sandy, mixed, mesic Typic Endoaquolls	41.3748528	-86.7775111
1988IN111006	12-GRR Points	2017	1	24	Maumee	Sandy, mixed, mesic Typic Endoaquolls	41.0665528	-87.3718306
1981OH051002	12-FLI Points	2015	3	5	Blount	Fine, illitic, mesic Aeric Epiaqualfs	41.6889889	-84.3810861
1974MI163002	12-FLI Points	2015	3	5	Blount	Fine, illitic, mesic Aeric Epiaqualfs	42.3456194	-83.5044194
1969MI147004	12-FLI Points	2015	3	5	Blount	Fine, illitic, mesic Aeric Epiaqualfs	43.0750528	-82.6825611
1967MI115015	12-FLI Points	1967	6	29	Blount	Fine, mixed, active, nonacid, mesic Aeric Epiaquepts	41.8211417	-83.4526944
1967MI099004	12-FLI Points	2015	3	6	Pert	Fine, illitic, mesic Aquic Hapludalfs	42.8110917	-82.8593361
1971OH137001	12-FLI Points	2015	3	9	Blount	Fine, illitic, mesic Aeric Epiaqualfs	40.9226639	-83.9112806
2005MI147001	12-FLI Points	2005	10	20	Blount	Fine, mixed, active, mesic Aeric Epiaqualfs	43.0747167	-82.6906833
1967MI155013	12-FLI Points	2015	3	18	Metamora	Fine-loamy, mixed, semiactive, mesic Udollic Epiaqualfs	43.0963889	-84.1826306
1969MI115017	12-FLI Points	1969	9	10	Selfridge	Loamy, mixed, active, mesic Aquic Arenic Hapludalfs	41.9741472	-83.404975
1976MI111002	12-FLI Points	1976	8	13	Pipestone	Mixed, mesic Aquic Udipsamments	43.7302694	-84.4091
1964MI011003	12-FLI Points	1964	10	24	Au Gres	Sandy, mixed, frigid Typic Endoaquods	44.1045	-84.0884611
1974MI035010	12-FLI Points	1974	10	4	Meehan	Mixed, frigid Oxyaquic Udipsamments	43.957475	-85.0183194
1967MI099005	12-FLI Points	2015	4	27	Tedrow	Mixed, mesic Aquic Udipsamments	42.6870028	-82.9820139
1967MI049006	12-FLI Points	1967	9	27	Pipestone	Sandy, mixed, mesic Typic Endoaquods	43.1852056	-83.8849833
1975MI057006	12-FLI Points	1975	12	27	Pipestone	Sandy, mixed, mesic Typic Endoaquods	43.4530694	-84.3704611
1978MI063004	12-FLI Points	1978	6	27	Pipestone	Sandy, mixed, mesic Typic Endoaquods	43.9012083	-82.9452444
1988MI145006	12-FLI Points	1988	8	17	Pipestone	Mixed, mesic Aquic Udipsamments	43.4575139	-84.2903833
1980MI157002	12-FLI Points	1980	4	30	Pipestone	Mixed, mesic Aquic Udipsamments	43.3167639	-83.6561083
1987MI145017	12-FLI Points	1987	10	5	Pipestone	Mixed, mesic Aquic Udipsamments	43.2782333	-83.7507278
